major,population
Engineering Specials (Non-Degree),4
Aerospace Engineering,80
Agricultural Engineering,22
Biological Systems Engineering,9
Chemical Engineering,82
Civil Engineering,73
Computer Engineering,72
Construction Engineering,29
Electrical Engineering,61
Engineering,54
Industrial Engineering,51
Materials Engineering,26
Mechanical Engineering,204
Software Engineering,22
